#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UL37	R2	10001477	10001453	10298.UL37_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.088	0.499
TK	gG	10001442	10001426	10298.KITH_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.497	0.498
TK	gM	10001442	10001432	10298.KITH_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.498	0.498
gC	gB	10001423	10001422	10298.GC_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.497	0.497
UL33	gC	10001465	10001423	10298.TRM2_HHV11	10298.GC_HHV11	0	0	0	0	0	0.473	0	0.085	0.497
UDG	UL33	10001479	10001465	10298.UNG_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.083	0.496
TK	ICP4	10001442	10001441	10298.KITH_HHV11	10298.ICP4_HHV11	0	0	0	0	0	0	0	0.496	0.496
ICP27	ICP0	10001438	10001436	10298.ICP27_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0	0	0.496	0.496
R2	gK	10001453	10001430	10298.RIR2_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.083	0.496
UL56	US11	10001478	10001454	10298.UL56_HHV11	10298.RNB_HHV11	0	0	0	0	0	0.447	0	0.124	0.495
UL33	UL46	10001465	10001457	10298.TRM2_HHV11	10298.TEG1_HHV11	0	0	0	0	0	0.473	0	0.080	0.494
UL45	UL30	10001421	10001419	10298.EV45_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.473	0	0.080	0.494
UL38	UL14	10001486	10001459	10298.VP19_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.079	0.494
UL48	gL	10001485	10001431	10298.VP16_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.494	0.494
TK	TP53	10001442	1846083	10298.KITH_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.494	0.494
UL55	gK	10001462	10001430	10298.TEG6_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.078	0.493
UL32	gJ	10001475	10001429	10298.UL32_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.493	0.493
UDG	UL14	10001479	10001459	10298.UNG_HHV11	10298.TEG3_HHV11	0	0	0	0	0	0.473	0	0.072	0.490
gH	gC	10001427	10001423	10298.GH_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.488	0.489
gL	gC	10001431	10001423	10298.GL_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.487	0.488
pPR	UL45	10001455	10001421	10298.SCAF_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.066	0.487
UL49	UL56	10001487	10001478	10298.VP22_HHV11	10298.UL56_HHV11	0	0	0	0	0	0.447	0	0.110	0.487
UL7	gK	10001467	10001430	10298.UL07_HHV11	10298.GK_HHV11	0	0	0	0	0	0.473	0	0.067	0.487
UL33	OBP	10001465	10001448	10298.TRM2_HHV11	10298.OBP_HHV11	0	0	0	0	0	0.473	0	0.063	0.485
US10	UL33	10001482	10001465	10298.US10_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.061	0.484
UL31	UL45	10001474	10001421	10298.UL31_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.447	0	0.106	0.484
TK	gK	10001442	10001430	10298.KITH_HHV11	10298.GK_HHV11	0	0	0	0	0	0	0	0.483	0.483
R2	UL43	10001453	10001444	10298.RIR2_HHV11	10298.MB43_HHV11	0	0	0	0	0	0.473	0	0.060	0.483
UL37	UL20	10001477	10001471	10298.UL37_HHV11	10298.UL20_HHV11	0	0	0	0	0	0.435	0	0.123	0.483
ICP4	ICP22	10001441	10001437	10298.ICP4_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0	0	0.482	0.483
ICP27	ICP22	10001438	10001437	10298.ICP27_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0	0	0.481	0.482
UL28	UL45	10001464	10001421	10298.TRM1_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.055	0.481
UL33	gN	10001465	10001433	10298.TRM2_HHV11	10298.GN_HHV11	0	0	0	0	0	0.473	0	0.056	0.481
ICP4	gD	10001441	10001424	10298.ICP4_HHV11	10298.GD_HHV11	0	0	0	0	0	0.118	0	0.479	0.480
TK	gH	10001442	10001427	10298.KITH_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.479	0.479
ICP0	gJ	10001436	10001429	10298.ICP0_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.478	0.478
ICP4	gJ	10001441	10001429	10298.ICP4_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.477	0.477
R2	TK	10001453	10001442	10298.RIR2_HHV11	10298.KITH_HHV11	0	0	0	0	0	0.443	0	0.099	0.477
UL7	UL45	10001467	10001421	10298.UL07_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.473	0	0.049	0.477
UL32	TK	10001475	10001442	10298.UL32_HHV11	10298.KITH_HHV11	0	0	0	0	0	0	0	0.475	0.476
UL14	UL30	10001459	10001419	10298.TEG3_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.473	0	0.045	0.475
UL15	R2	10001466	10001453	10298.TRM3_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.044	0.475
UL33	R2	10001465	10001453	10298.TRM2_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.043	0.474
US2	UL33	10001480	10001465	10298.US02_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.043	0.474
UL43	gL	10001444	10001431	10298.MB43_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.474	0.474
ICP4	gB	10001441	10001422	10298.ICP4_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.474	0.474
UL7	UL33	10001467	10001465	10298.UL07_HHV11	10298.TRM2_HHV11	0	0	0	0	0	0.473	0	0.041	0.473
UL33	UL55	10001465	10001462	10298.TRM2_HHV11	10298.TEG6_HHV11	0	0	0	0	0	0.473	0	0.037	0.473
UL28	R2	10001464	10001453	10298.TRM1_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.023	0.473
UL14	R2	10001459	10001453	10298.TEG3_HHV11	10298.RIR2_HHV11	0	0	0	0	0	0.473	0	0.041	0.473
ICP0	gL	10001436	10001431	10298.ICP0_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.472	0.472
ICP27	gL	10001438	10001431	10298.ICP27_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.470	0.470
UL32	gB	10001475	10001422	10298.UL32_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.470	0.470
gK	gC	10001430	10001423	10298.GK_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.465	0.466
gM	gC	10001432	10001423	10298.GM_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.465	0.466
UL56	UL21	10001478	10001460	10298.UL56_HHV11	10298.TEG4_HHV11	0	0	0	0	0	0.447	0	0.073	0.465
UL48	TK	10001485	10001442	10298.VP16_HHV11	10298.KITH_HHV11	0	0	0	0	0	0	0	0.463	0.464
gE	gB	10001425	10001422	10298.GE_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.463	0.464
UL48	ICP0	10001485	10001436	10298.VP16_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0	0	0.460	0.460
gJ	JUN	10001429	1855436	10298.GJ_HHV11	9606.ENSP00000360266	0	0	0	0	0	0	0	0.458	0.458
UL48	gJ	10001485	10001429	10298.VP16_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.457	0.457
ICP4	gG	10001441	10001426	10298.ICP4_HHV11	10298.GG_HHV11	0	0	0	0	0	0.118	0	0.455	0.455
ICP4	gH	10001441	10001427	10298.ICP4_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.452	0.453
gL	JUN	10001431	1855436	10298.GL_HHV11	9606.ENSP00000360266	0	0	0	0	0	0	0	0.452	0.452
UL52	OBP	10001451	10001448	10298.PRIM_HHV11	10298.OBP_HHV11	0	0	0	0	0	0.128	0	0.451	0.452
UL38	UL45	10001486	10001421	10298.VP19_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.435	0	0.068	0.451
gL	gE	10001431	10001425	10298.GL_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.450	0.450
UL32	gM	10001475	10001432	10298.UL32_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.449	0.449
TK	ICP27	10001442	10001438	10298.KITH_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.446	0.447
ICP4	gM	10001441	10001432	10298.ICP4_HHV11	10298.GM_HHV11	0	0	0	0	0	0.134	0	0.444	0.445
UL4	ICP-8	10001447	10001418	10298.NP04_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.134	0	0.444	0.445
GTF2B	TP53	1855275	1846083	9606.ENSP00000359531	9606.ENSP00000269305	0	0	0	0	0	0	0	0.444	0.444
ICP27	gD	10001438	10001424	10298.ICP27_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.444	0.444
UL48	gD	10001485	10001424	10298.VP16_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.442	0.443
ICP4	gK	10001441	10001430	10298.ICP4_HHV11	10298.GK_HHV11	0	0	0	0	0	0	0	0.443	0.443
OBP	UL45	10001448	10001421	10298.OBP_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.439	0	0.047	0.443
JUN	HCFC1	1855436	1849194	9606.ENSP00000360266	9606.ENSP00000309555	0	0	0	0	0	0.360	0	0.162	0.441
OBP	UL30	10001448	10001419	10298.OBP_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0	0	0.440	0.441
US12	ICP22	10001440	10001437	10298.ICP47_HHV11	10298.ICP22_HHV11	0	0	0	0	0	0	0	0.440	0.440
UL5	UL30	10001434	10001419	10298.HELI_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0	0	0.439	0.439
UL48	gB	10001485	10001422	10298.VP16_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.437	0.438
ICP27	gJ	10001438	10001429	10298.ICP27_HHV11	10298.GJ_HHV11	0	0	0	0	0	0	0	0.437	0.437
gL	ICP-8	10001431	10001418	10298.GL_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.437	0.437
UL32	gD	10001475	10001424	10298.UL32_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.437	0.437
UL38	UL37	10001486	10001477	10298.VP19_HHV11	10298.UL37_HHV11	0	0	0	0	0	0	0	0.437	0.437
UL4	UL43	10001447	10001444	10298.NP04_HHV11	10298.MB43_HHV11	0	0	0	0	0	0	0	0.437	0.437
UL52	UL30	10001451	10001419	10298.PRIM_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0	0	0.437	0.437
PAP	HEPA	10001449	10001435	10298.PAP_HHV11	10298.HEPA_HHV11	0	0	0	0	0	0	0	0.436	0.436
UL35	UL37	10001489	10001477	10298.VP26_HHV11	10298.UL37_HHV11	0	0	0	0	0	0	0	0.435	0.435
UL17	UL45	10001470	10001421	10298.UL17_HHV11	10298.EV45_HHV11	0	0	0	0	0	0.435	0	0.034	0.435
UL37	MCP	10001477	10001445	10298.UL37_HHV11	10298.MCP_HHV11	0	0	0	0	0	0	0	0.434	0.434
gD	gC	10001424	10001423	10298.GD_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.431	0.431
ICP22	ICP0	10001437	10001436	10298.ICP22_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0	0	0.431	0.431
UL4	gC	10001447	10001423	10298.NP04_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.430	0.430
gJ	gC	10001429	10001423	10298.GJ_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.430	0.430
UL35	gL	10001489	10001431	10298.VP26_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.425	0.426
UL48	gG	10001485	10001426	10298.VP16_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.425	0.425
US11	UL4	10001454	10001447	10298.RNB_HHV11	10298.NP04_HHV11	0	0	0	0	0	0	0	0.425	0.425
TK	ICP0	10001442	10001436	10298.KITH_HHV11	10298.ICP0_HHV11	0	0	0	0	0	0	0	0.424	0.424
gI	gB	10001428	10001422	10298.GI_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.423	0.424
gM	gE	10001432	10001425	10298.GM_HHV11	10298.GE_HHV11	0	0	0	0	0	0	0	0.423	0.423
gB	ICP-8	10001422	10001418	10298.GB_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.421	0.422
UL32	gG	10001475	10001426	10298.UL32_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.422	0.422
R1	gL	10001452	10001431	10298.RIR1_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.420	0.421
UL52	PAP	10001451	10001449	10298.PRIM_HHV11	10298.PAP_HHV11	0	0	0	0	0	0	0	0.419	0.419
UL30	ICP-8	10001419	10001418	10298.DPOL_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.418	0.419
UL37	UL32	10001477	10001475	10298.UL37_HHV11	10298.UL32_HHV11	0	0	0	0	0	0	0	0.417	0.418
gI	gH	10001428	10001427	10298.GI_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.416	0.417
Vhs	ICP27	10001456	10001438	10298.SHUT_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0	0	0.417	0.417
ICP27	gH	10001438	10001427	10298.ICP27_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.417	0.417
UL48	gM	10001485	10001432	10298.VP16_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.416	0.416
UL47	UL46	10001461	10001457	10298.TEG5_HHV11	10298.TEG1_HHV11	0	0	0	0	0	0	0	0.414	0.415
UL52	ICP-8	10001451	10001418	10298.PRIM_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.414	0.415
MCP	gB	10001445	10001422	10298.MCP_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.411	0.411
gL	gI	10001431	10001428	10298.GL_HHV11	10298.GI_HHV11	0	0	0	0	0	0	0	0.411	0.411
JUN	TBK1	1855436	1851202	9606.ENSP00000360266	9606.ENSP00000329967	0	0	0	0	0	0	0	0.411	0.411
UL32	gH	10001475	10001427	10298.UL32_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.411	0.411
IRF3	TP53	1849262	1846083	9606.ENSP00000310127	9606.ENSP00000269305	0	0	0	0	0	0	0	0.410	0.410
ICP27	gM	10001438	10001432	10298.ICP27_HHV11	10298.GM_HHV11	0	0	0	0	0	0	0	0.408	0.409
gM	gI	10001432	10001428	10298.GM_HHV11	10298.GI_HHV11	0	0	0	0	0	0	0	0.405	0.406
gH	ICP-8	10001427	10001418	10298.GH_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.406	0.406
UL18	MCP	10001488	10001445	10298.VP23_HHV11	10298.MCP_HHV11	0	0	0	0	0	0	0	0.406	0.406
ICP27	gG	10001438	10001426	10298.ICP27_HHV11	10298.GG_HHV11	0	0	0	0	0	0	0	0.404	0.405
gM	ICP-8	10001432	10001418	10298.GM_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0	0	0.403	0.403
gG	gC	10001426	10001423	10298.GG_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.403	0.403
ICP0	gD	10001436	10001424	10298.ICP0_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.403	0.403
ICP0	TP53	10001436	1846083	10298.ICP0_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.403	0.403
UL35	UL32	10001489	10001475	10298.VP26_HHV11	10298.UL32_HHV11	0	0	0	0	0	0	0	0.403	0.403
UL35	UL4	10001489	10001447	10298.VP26_HHV11	10298.NP04_HHV11	0	0	0	0	0	0	0	0.402	0.402
PAP	UL5	10001449	10001434	10298.PAP_HHV11	10298.HELI_HHV11	0	0	0	0	0	0	0	0.402	0.402
UL32	MCP	10001475	10001445	10298.UL32_HHV11	10298.MCP_HHV11	0	0	0	0	0	0	0	0.402	0.402
MCP	gL	10001445	10001431	10298.MCP_HHV11	10298.GL_HHV11	0	0	0	0	0	0	0	0.401	0.401
gD	ICP-8	10001424	10001418	10298.GD_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.118	0	0.400	0.401
gK	gI	10001430	10001428	10298.GK_HHV11	10298.GI_HHV11	0	0	0	0	0	0	0	0.399	0.400
gE	gC	10001425	10001423	10298.GE_HHV11	10298.GC_HHV11	0	0	0	0	0	0	0	0.400	0.400
gJ	IRF3	10001429	1849262	10298.GJ_HHV11	9606.ENSP00000310127	0	0	0	0	0	0	0	0.400	0.400
